,Nome,Sobrenome,Data de Nascimento,Loja,Produto,Data,Quantidade Vendida,Preco,Faturamento,Mes_Vendas,Mes_Vendas_Num
47,NatÃ¡lia,Huon,09/11/1985,Rio de Janeiro,Jaqueta,2018-01-15,98,250,24500,Janeiro,1
43,Joyce,Ribas,06/11/1988,Curitiba,Vestido,2018-01-14,83,150,12450,Janeiro,1
82,Elizeu,Barros,22/01/1985,Curitiba,Vestido,2018-01-24,81,110,8910,Janeiro,1
84,Maryanna,Correa,20/05/1985,Porto Alegre,Sandalia,2018-01-24,53,85,4505,Janeiro,1
85,Izabel,Milagre,06/05/1986,Porto Alegre,Sapato,2018-01-24,74,25,1850,Janeiro,1
108,Elizeu,Barros,25/04/1986,Salvador,Pulseira,2018-01-30,28,85,2380,Janeiro,1
107,Izabel,Milagre,26/10/1990,Brasilia,Saia,2018-01-30,27,150,4050,Janeiro,1
106,Joyce,Ribas,06/08/1985,Rio de Janeiro,Vestido,2018-01-30,51,110,5610,Janeiro,1
105,Jucelia,Bailly,18/01/1991,Brasilia,Casaco,2018-01-30,92,85,7820,Janeiro,1
103,Elizeu,Barros,21/02/1993,Brasilia,Saia,2018-01-30,98,200,19600,Janeiro,1
110,Tayna,Coimbra,21/11/1991,Sao Paulo,Vestido,2018-01-31,99,300,29700,Janeiro,1
114,Jucelia,Bailly,27/03/1986,Porto Alegre,Sapato,2018-01-31,113,30,3390,Janeiro,1
113,Maryanna,Correa,29/05/1987,Fortaleza,Vestido,2018-01-31,26,190,4940,Janeiro,1
111,Andrew,Carvalhal,30/01/1990,Porto Alegre,Vestido,2018-01-31,35,250,8750,Janeiro,1
112,Jucelia,Bailly,09/08/1992,Curitiba,Sandalia,2018-01-31,124,55,6820,Janeiro,1
102,Maryanna,Correa,09/11/1992,Fortaleza,Vestido,2018-01-30,131,150,19650,Janeiro,1
98,Paloma,Farias,28/11/1988,Curitiba,Jaqueta,2018-01-29,103,300,30900,Janeiro,1
99,Joyce,Ribas,06/05/1989,Porto Alegre,Vestido,2018-01-29,69,150,10350,Janeiro,1
100,Elizeu,Barros,19/10/1993,Curitiba,Saia,2018-01-29,59,30,1770,Janeiro,1
101,Joyce,Ribas,31/05/1990,Fortaleza,Camiseta,2018-01-29,7,75,525,Janeiro,1
94,Izabel,Milagre,15/01/1989,Salvador,Sapato,2018-01-28,113,150,16950,Janeiro,1
95,Iago,Bensdorp,19/08/1985,Salvador,Vestido,2018-01-28,25,300,7500,Janeiro,1
96,Eduarda,Figueiredo,08/03/1991,Sao Paulo,Vestido,2018-01-28,44,30,1320,Janeiro,1
97,Emanuella,Fialho,13/02/1986,Salvador,Saia,2018-01-28,11,25,275,Janeiro,1
93,Juliane,Felipi,09/04/1992,Salvador,Sapato,2018-01-27,43,75,3225,Janeiro,1
92,Izabel,Milagre,24/07/1988,Rio de Janeiro,Pulseira,2018-01-27,139,25,3475,Janeiro,1
91,Emanuella,Fialho,07/03/1993,Sao Paulo,Vestido,2018-01-27,112,75,8400,Janeiro,1
89,Izabel,Milagre,15/09/1990,Curitiba,Short,2018-01-26,58,230,13340,Janeiro,1
90,Maryanna,Correa,01/05/1993,Brasilia,Vestido,2018-01-26,7,150,1050,Janeiro,1
86,Emanuella,Fialho,23/04/1993,Sao Paulo,Casaco,2018-01-25,119,300,35700,Janeiro,1
87,Paloma,Farias,04/12/1993,Curitiba,Camiseta,2018-01-25,73,230,16790,Janeiro,1
88,Emanuella,Fialho,15/09/1988,Porto Alegre,Sapato,2018-01-25,62,85,5270,Janeiro,1
83,Jucelia,Bailly,21/10/1988,Brasilia,Sandalia,2018-01-24,36,200,7200,Janeiro,1
81,Elizeu,Barros,05/12/1989,Salvador,Sapato,2018-01-24,71,190,13490,Janeiro,1
46,Breno,Amaral,19/12/1985,Rio de Janeiro,Sapato,2018-01-15,139,190,26410,Janeiro,1
63,Jucelia,Bailly,15/03/1985,Rio de Janeiro,Tenis,2018-01-19,123,150,18450,Janeiro,1
109,Emanuella,Fialho,17/03/1990,Salvador,Casaco,2018-01-30,55,25,1375,Janeiro,1
1000,Emanuella,Fialho,04/03/1986,Rio de Janeiro,Saia,2018-01-10,23,300,6900,Janeiro,1
506,Eduarda,Figueiredo,22/11/1993,Porto Alegre,Chinelo,2018-01-06,82,250,20500,Janeiro,1
507,Izabel,Milagre,06/10/1991,Sao Paulo,Casaco,2018-01-06,77,190,14630,Janeiro,1
998,Elizeu,Barros,06/04/1990,Brasilia,Vestido,2018-01-10,91,190,17290,Janeiro,1
863,NatÃ¡lia,Huon,20/03/1985,Curitiba,Sandalia,2018-01-09,118,110,12980,Janeiro,1
865,Eduarda,Figueiredo,07/10/1990,Sao Paulo,Sandalia,2018-01-09,12,230,2760,Janeiro,1
622,Juliane,Felipi,07/03/1987,Porto Alegre,Casaco,2018-01-07,23,110,2530,Janeiro,1
621,Andrew,Carvalhal,26/12/1987,Sao Paulo,Vestido,2018-01-07,84,230,19320,Janeiro,1
758,Juliane,Felipi,25/08/1985,Brasilia,Saia,2018-01-08,101,300,30300,Janeiro,1
62,Maryanna,Correa,31/10/1990,Rio de Janeiro,Casaco,2018-01-18,80,200,16000,Janeiro,1
864,Emanuella,Fialho,03/01/1985,Sao Paulo,Vestido,2018-01-09,54,190,10260,Janeiro,1
999,Andrew,Carvalhal,03/12/1991,Rio de Janeiro,Sapato,2018-01-10,148,75,11100,Janeiro,1
759,Patricia,Camara,06/06/1986,Sao Paulo,Vestido,2018-01-08,61,230,14030,Janeiro,1
760,Paloma,Farias,29/09/1986,Salvador,Sapato,2018-01-08,71,110,7810,Janeiro,1
65,Emanuella,Fialho,24/06/1991,Curitiba,Vestido,2018-01-19,10,230,2300,Janeiro,1
61,Izabel,Milagre,07/03/1986,Curitiba,Sapato,2018-01-17,12,300,3600,Janeiro,1
60,Maryanna,Correa,08/10/1989,Curitiba,Casaco,2018-01-17,86,55,4730,Janeiro,1
59,Paloma,Farias,12/02/1991,Porto Alegre,Camiseta,2018-01-17,109,150,16350,Janeiro,1
58,Eduarda,Figueiredo,10/03/1986,Porto Alegre,Sapato,2018-01-17,115,250,28750,Janeiro,1
1001,Elizeu,Barros,11/08/1988,Salvador,Vestido,2018-01-10,24,230,5520,Janeiro,1
1141,Breno,Amaral,13/10/1987,Sao Paulo,Jaqueta,2018-01-12,137,55,7535,Janeiro,1
1142,Juliane,Felipi,13/07/1987,Curitiba,Sandalia,2018-01-12,84,25,2100,Janeiro,1
1010,Joyce,Ribas,10/08/1986,Porto Alegre,Vestido,2018-01-11,134,85,11390,Janeiro,1
1009,Patricia,Camara,08/08/1988,Sao Paulo,Saia,2018-01-11,60,250,15000,Janeiro,1
866,Tayna,Coimbra,07/07/1985,Sao Paulo,Sandalia,2018-01-09,3,30,90,Janeiro,1
475,Emanuella,Fialho,15/04/1986,Rio de Janeiro,Sapato,2018-01-05,16,75,1200,Janeiro,1
508,Jucelia,Bailly,09/11/1992,Sao Paulo,Sapato,2018-01-06,63,85,5355,Janeiro,1
860,Paloma,Farias,18/03/1987,Porto Alegre,Bermuda,2018-01-09,124,300,37200,Janeiro,1
116,Breno,Amaral,27/01/1988,Rio de Janeiro,Sapato,2018-01-02,17,30,510,Janeiro,1
187,Iago,Bensdorp,13/12/1991,Porto Alegre,Vestido,2018-01-03,74,300,22200,Janeiro,1
188,Izabel,Milagre,20/07/1988,Porto Alegre,Vestido,2018-01-03,61,85,5185,Janeiro,1
190,Breno,Amaral,01/10/1992,Curitiba,Camiseta,2018-01-03,6,75,450,Janeiro,1
189,Elizeu,Barros,07/02/1992,Fortaleza,Camiseta,2018-01-03,17,190,3230,Janeiro,1
334,Jucelia,Bailly,18/03/1989,Brasilia,Sapato,2018-01-04,137,110,15070,Janeiro,1
335,Maryanna,Correa,10/05/1991,Sao Paulo,Saia,2018-01-04,133,85,11305,Janeiro,1
336,Iago,Bensdorp,18/12/1989,Porto Alegre,Camiseta,2018-01-04,44,230,10120,Janeiro,1
337,Emanuella,Fialho,08/09/1992,Rio de Janeiro,Casaco,2018-01-04,84,110,9240,Janeiro,1
338,Patricia,Camara,23/11/1993,Brasilia,Sapato,2018-01-04,135,30,4050,Janeiro,1
333,NatÃ¡lia,Huon,14/03/1989,Curitiba,Vestido,2018-01-04,124,190,23560,Janeiro,1
339,Maryanna,Correa,18/10/1989,Curitiba,Chinelo,2018-01-04,63,25,1575,Janeiro,1
472,Izabel,Milagre,12/11/1992,Sao Paulo,Sandalia,2018-01-05,101,75,7575,Janeiro,1
473,Maryanna,Correa,19/08/1991,Curitiba,Vestido,2018-01-05,74,55,4070,Janeiro,1
64,Patricia,Camara,18/04/1985,Brasilia,Casaco,2018-01-19,95,150,14250,Janeiro,1
57,Tayna,Coimbra,14/01/1992,Fortaleza,Sapato,2018-01-16,15,150,2250,Janeiro,1
51,Izabel,Milagre,27/11/1985,Sao Paulo,Camiseta,2018-01-16,128,250,32000,Janeiro,1
52,Andrew,Carvalhal,10/09/1987,Curitiba,Casaco,2018-01-16,148,200,29600,Janeiro,1
54,Eduarda,Figueiredo,19/06/1988,Porto Alegre,Vestido,2018-01-16,85,190,16150,Janeiro,1
53,Andrew,Carvalhal,29/06/1987,Rio de Janeiro,Casaco,2018-01-16,142,190,26980,Janeiro,1
56,Eduarda,Figueiredo,24/08/1985,Brasilia,Sapato,2018-01-16,79,30,2370,Janeiro,1
55,Joyce,Ribas,13/03/1986,Sao Paulo,Sandalia,2018-01-16,85,30,2550,Janeiro,1
474,Joyce,Ribas,05/11/1989,Curitiba,Vestido,2018-01-05,32,85,2720,Janeiro,1
861,Jucelia,Bailly,24/04/1988,Fortaleza,Sapato,2018-01-09,143,190,27170,Janeiro,1
862,NatÃ¡lia,Huon,20/07/1985,Sao Paulo,Camiseta,2018-01-09,95,200,19000,Janeiro,1
1011,Andrew,Carvalhal,13/05/1986,Curitiba,Sapato,2018-01-11,71,30,2130,Janeiro,1
172,Jucelia,Bailly,13/01/1986,Salvador,Sapato,2018-02-24,37,110,4070,Fevereiro,2
168,Maryanna,Correa,06/05/1985,Salvador,Casaco,2018-02-24,109,150,16350,Fevereiro,2
169,Maryanna,Correa,05/08/1985,Rio de Janeiro,Camiseta,2018-02-24,21,230,4830,Fevereiro,2
179,Joyce,Ribas,01/02/1992,Curitiba,Camiseta,2018-02-27,98,230,22540,Fevereiro,2
175,Eduarda,Figueiredo,30/04/1990,Rio de Janeiro,Short,2018-02-25,144,190,27360,Fevereiro,2
174,Breno,Amaral,28/06/1990,Salvador,Casaco,2018-02-25,140,230,32200,Fevereiro,2
173,Tayna,Coimbra,29/01/1989,Salvador,Vestido,2018-02-25,136,250,34000,Fevereiro,2
177,Paloma,Farias,14/06/1987,Salvador,Vestido,2018-02-26,16,200,3200,Fevereiro,2
134,Iago,Bensdorp,06/07/1985,Rio de Janeiro,Tenis,2018-02-17,110,25,2750,Fevereiro,2
183,Tayna,Coimbra,05/10/1987,Fortaleza,Sapato,2018-02-27,13,190,2470,Fevereiro,2
182,Breno,Amaral,03/08/1986,Fortaleza,Sapato,2018-02-27,58,110,6380,Fevereiro,2
181,Jucelia,Bailly,06/12/1989,Curitiba,Pulseira,2018-02-27,58,150,8700,Fevereiro,2
180,Paloma,Farias,30/09/1987,Salvador,Saia,2018-02-27,128,110,14080,Fevereiro,2
178,NatÃ¡lia,Huon,10/08/1985,Curitiba,Vestido,2018-02-27,90,300,27000,Fevereiro,2
186,Breno,Amaral,21/04/1987,Rio de Janeiro,Saia,2018-02-28,54,25,1350,Fevereiro,2
185,Paloma,Farias,29/05/1989,Salvador,Sapato,2018-02-28,19,300,5700,Fevereiro,2
184,Izabel,Milagre,02/06/1993,Brasilia,Sandalia,2018-02-28,31,200,6200,Fevereiro,2
176,Andrew,Carvalhal,29/04/1992,Brasilia,Vestido,2018-02-25,78,75,5850,Fevereiro,2
171,Andrew,Carvalhal,02/02/1988,Fortaleza,Casaco,2018-02-24,14,300,4200,Fevereiro,2
144,Izabel,Milagre,24/04/1990,Salvador,Sandalia,2018-02-19,118,25,2950,Fevereiro,2
167,Eduarda,Figueiredo,23/07/1993,Porto Alegre,Vestido,2018-02-23,93,30,2790,Fevereiro,2
157,Elizeu,Barros,01/01/1987,Salvador,Sapato,2018-02-21,24,75,1800,Fevereiro,2
138,Maryanna,Correa,10/12/1990,Curitiba,Chinelo,2018-02-18,69,75,5175,Fevereiro,2
158,Elizeu,Barros,14/06/1993,Porto Alegre,Vestido,2018-02-21,22,75,1650,Fevereiro,2
137,Elizeu,Barros,26/12/1989,Fortaleza,Short,2018-02-18,148,150,22200,Fevereiro,2
136,Breno,Amaral,22/06/1990,Brasilia,Sandalia,2018-02-18,150,230,34500,Fevereiro,2
130,Izabel,Milagre,03/10/1986,Porto Alegre,Sandalia,2018-02-16,76,250,19000,Fevereiro,2
129,Jucelia,Bailly,29/04/1989,Porto Alegre,Sapato,2018-02-15,150,25,3750,Fevereiro,2
128,Izabel,Milagre,28/10/1992,Salvador,Sapato,2018-02-15,98,55,5390,Fevereiro,2
126,Maryanna,Correa,27/01/1992,Porto Alegre,Sandalia,2018-02-15,98,190,18620,Fevereiro,2
159,Elizeu,Barros,01/01/1985,Rio de Janeiro,Vestido,2018-02-21,2,300,600,Fevereiro,2
125,Juliane,Felipi,16/11/1985,Porto Alegre,Vestido,2018-02-15,120,250,30000,Fevereiro,2
123,Paloma,Farias,15/07/1993,Porto Alegre,Saia,2018-02-15,143,230,32890,Fevereiro,2
127,Jucelia,Bailly,06/05/1985,Salvador,Jaqueta,2018-02-15,43,300,12900,Fevereiro,2
147,NatÃ¡lia,Huon,10/08/1986,Curitiba,Vestido,2018-02-19,15,85,1275,Fevereiro,2
141,Elizeu,Barros,27/07/1985,Salvador,Saia,2018-02-19,123,200,24600,Fevereiro,2
148,Juliane,Felipi,08/04/1989,Rio de Janeiro,Short,2018-02-19,4,75,300,Fevereiro,2
143,Eduarda,Figueiredo,31/05/1993,Brasilia,Casaco,2018-02-19,69,85,5865,Fevereiro,2
146,Elizeu,Barros,23/09/1991,Rio de Janeiro,Pulseira,2018-02-19,6,250,1500,Fevereiro,2
142,Maryanna,Correa,19/08/1993,Salvador,Vestido,2018-02-19,56,200,11200,Fevereiro,2
145,Joyce,Ribas,01/07/1988,Porto Alegre,Pulseira,2018-02-19,27,75,2025,Fevereiro,2
124,Breno,Amaral,03/11/1988,Fortaleza,Jaqueta,2018-02-15,139,230,31970,Fevereiro,2
170,Joyce,Ribas,04/10/1990,Porto Alegre,Sapato,2018-02-24,24,200,4800,Fevereiro,2
149,Juliane,Felipi,29/12/1991,Brasilia,Vestido,2018-02-21,102,250,25500,Fevereiro,2
151,Breno,Amaral,12/02/1993,Rio de Janeiro,Sapato,2018-02-21,150,85,12750,Fevereiro,2
166,Eduarda,Figueiredo,26/07/1989,Rio de Janeiro,Sapato,2018-02-23,74,75,5550,Fevereiro,2
163,NatÃ¡lia,Huon,12/06/1985,Porto Alegre,Pulseira,2018-02-23,148,230,34040,Fevereiro,2
164,Jucelia,Bailly,29/09/1986,Fortaleza,Jaqueta,2018-02-23,113,300,33900,Fevereiro,2
165,Izabel,Milagre,09/02/1992,Porto Alegre,Casaco,2018-02-23,42,230,9660,Fevereiro,2
161,Maryanna,Correa,20/05/1993,Rio de Janeiro,Camiseta,2018-02-22,129,75,9675,Fevereiro,2
160,NatÃ¡lia,Huon,09/07/1993,Curitiba,Casaco,2018-02-22,77,190,14630,Fevereiro,2
162,Paloma,Farias,07/11/1992,Brasilia,Saia,2018-02-22,27,230,6210,Fevereiro,2
135,Tayna,Coimbra,19/08/1993,Salvador,Sapato,2018-02-17,6,110,660,Fevereiro,2
132,Paloma,Farias,01/05/1988,Curitiba,Casaco,2018-02-17,72,150,10800,Fevereiro,2
150,Eduarda,Figueiredo,30/01/1989,Curitiba,Sapato,2018-02-21,119,150,17850,Fevereiro,2
153,Eduarda,Figueiredo,11/09/1990,Brasilia,Sandalia,2018-02-21,31,200,6200,Fevereiro,2
155,Breno,Amaral,31/01/1989,Rio de Janeiro,Jaqueta,2018-02-21,29,110,3190,Fevereiro,2
133,Maryanna,Correa,09/11/1987,Sao Paulo,Bermuda,2018-02-17,34,300,10200,Fevereiro,2
140,NatÃ¡lia,Huon,12/11/1993,Curitiba,Vestido,2018-02-18,4,85,340,Fevereiro,2
139,Paloma,Farias,03/08/1992,Curitiba,Sapato,2018-02-18,67,75,5025,Fevereiro,2
121,Paloma,Farias,11/10/1992,Sao Paulo,Sapato,2018-02-14,131,75,9825,Fevereiro,2
120,Joyce,Ribas,06/09/1985,Curitiba,Camiseta,2018-02-14,65,200,13000,Fevereiro,2
119,Breno,Amaral,09/03/1991,Curitiba,Sapato,2018-02-14,101,300,30300,Fevereiro,2
122,Elizeu,Barros,05/11/1991,Salvador,Vestido,2018-02-14,57,85,4845,Fevereiro,2
154,Izabel,Milagre,22/02/1990,Sao Paulo,Sapato,2018-02-21,15,250,3750,Fevereiro,2
152,Iago,Bensdorp,29/03/1993,Sao Paulo,Pulseira,2018-02-21,28,250,7000,Fevereiro,2
156,Tayna,Coimbra,26/12/1988,Brasilia,Sandalia,2018-02-21,88,30,2640,Fevereiro,2
131,Paloma,Farias,10/05/1993,Brasilia,Bermuda,2018-02-17,108,200,21600,Fevereiro,2
623,NatÃ¡lia,Huon,04/11/1986,Curitiba,Vestido,2018-02-07,57,230,13110,Fevereiro,2
625,Breno,Amaral,31/07/1986,Curitiba,Sapato,2018-02-07,77,75,5775,Fevereiro,2
342,Iago,Bensdorp,29/04/1986,Rio de Janeiro,Saia,2018-02-04,80,85,6800,Fevereiro,2
343,Joyce,Ribas,01/08/1993,Fortaleza,Sapato,2018-02-04,5,200,1000,Fevereiro,2
340,Joyce,Ribas,29/11/1987,Brasilia,Camiseta,2018-02-04,145,110,15950,Fevereiro,2
344,Jucelia,Bailly,06/06/1990,Porto Alegre,Camiseta,2018-02-04,9,30,270,Fevereiro,2
196,Izabel,Milagre,24/02/1987,Sao Paulo,Camiseta,2018-02-03,9,85,765,Fevereiro,2
195,Maryanna,Correa,12/09/1987,Porto Alegre,Vestido,2018-02-03,18,75,1350,Fevereiro,2
194,Joyce,Ribas,04/02/1989,Brasilia,Vestido,2018-02-03,28,190,5320,Fevereiro,2
476,Juliane,Felipi,03/11/1990,Brasilia,Vestido,2018-02-05,138,150,20700,Fevereiro,2
193,Andrew,Carvalhal,02/02/1986,Curitiba,Sandalia,2018-02-03,76,85,6460,Fevereiro,2
626,Tayna,Coimbra,01/08/1988,Sao Paulo,Chinelo,2018-02-07,21,25,525,Fevereiro,2
867,Emanuella,Fialho,16/06/1988,Fortaleza,Chinelo,2018-02-09,48,150,7200,Fevereiro,2
1012,Patricia,Camara,03/11/1991,Brasilia,Vestido,2018-02-11,91,85,7735,Fevereiro,2
1013,Emanuella,Fialho,12/07/1988,Rio de Janeiro,Vestido,2018-02-11,68,55,3740,Fevereiro,2
191,Andrew,Carvalhal,30/07/1989,Brasilia,Sandalia,2018-02-03,112,75,8400,Fevereiro,2
117,Eduarda,Figueiredo,26/11/1986,Salvador,Sandalia,2018-02-02,93,110,10230,Fevereiro,2
3,Paloma,Farias,29/03/1989,Rio de Janeiro,Vestido,2018-02-01,55,55,3025,Fevereiro,2
4,Iago,Bensdorp,11/12/1989,Brasilia,Vestido,2018-02-01,7,75,525,Fevereiro,2
2,Andrew,Carvalhal,12/02/1985,Sao Paulo,Sapato,2018-02-01,44,150,6600,Fevereiro,2
1,Andrew,Carvalhal,18/07/1992,Brasilia,Camiseta,2018-02-01,57,250,14250,Fevereiro,2
1014,Jucelia,Bailly,16/07/1993,Porto Alegre,Vestido,2018-02-11,137,25,3425,Fevereiro,2
1015,Izabel,Milagre,24/05/1992,Fortaleza,Casaco,2018-02-11,61,30,1830,Fevereiro,2
1016,Maryanna,Correa,04/09/1988,Porto Alegre,Vestido,2018-02-11,20,30,600,Fevereiro,2
1143,Jucelia,Bailly,06/05/1988,Fortaleza,Sapato,2018-02-12,87,55,4785,Fevereiro,2
1144,Iago,Bensdorp,25/01/1988,Curitiba,Sapato,2018-02-12,5,230,1150,Fevereiro,2
192,Iago,Bensdorp,16/03/1993,Sao Paulo,Casaco,2018-02-03,65,110,7150,Fevereiro,2
0,Elizeu,Barros,16/12/1993,Salvador,Casaco,2018-02-01,105,150,15750,Fevereiro,2
624,Eduarda,Figueiredo,29/12/1986,Sao Paulo,Camiseta,2018-02-07,127,85,10795,Fevereiro,2
341,Breno,Amaral,13/04/1988,Curitiba,Saia,2018-02-04,113,85,9605,Fevereiro,2
290,Andrew,Carvalhal,21/11/1990,Salvador,Sandalia,2018-03-25,149,200,29800,Marco,3
9,Andrew,Carvalhal,15/12/1986,Rio de Janeiro,Vestido,2018-03-01,40,55,2200,Marco,3
8,Joyce,Ribas,02/08/1985,Fortaleza,Saia,2018-03-01,12,250,3000,Marco,3
198,Breno,Amaral,23/01/1988,Curitiba,Pulseira,2018-03-03,80,85,6800,Marco,3
199,Jucelia,Bailly,26/04/1991,Brasilia,Vestido,2018-03-03,115,55,6325,Marco,3
201,Tayna,Coimbra,24/11/1985,Salvador,Tenis,2018-03-03,5,30,150,Marco,3
197,Izabel,Milagre,22/06/1987,Salvador,Short,2018-03-03,57,200,11400,Marco,3
288,Juliane,Felipi,04/07/1992,Brasilia,Sapato,2018-03-24,116,30,3480,Marco,3
200,Eduarda,Figueiredo,12/11/1993,Brasilia,Chinelo,2018-03-03,8,200,1600,Marco,3
294,Elizeu,Barros,26/12/1988,Brasilia,Sapato,2018-03-25,132,30,3960,Marco,3
289,Andrew,Carvalhal,07/08/1992,Porto Alegre,Saia,2018-03-24,17,30,510,Marco,3
297,Elizeu,Barros,19/10/1986,Curitiba,Casaco,2018-03-26,91,250,22750,Marco,3
7,Maryanna,Correa,06/05/1988,Porto Alegre,Saia,2018-03-01,109,55,5995,Marco,3
265,Tayna,Coimbra,09/03/1989,Rio de Janeiro,Chinelo,2018-03-19,79,300,23700,Marco,3
266,Iago,Bensdorp,17/02/1985,Brasilia,Jaqueta,2018-03-19,88,75,6600,Marco,3
267,Andrew,Carvalhal,09/10/1988,Brasilia,Camiseta,2018-03-19,56,110,6160,Marco,3
292,Izabel,Milagre,27/06/1993,Sao Paulo,Camiseta,2018-03-25,42,150,6300,Marco,3
296,Paloma,Farias,12/07/1988,Sao Paulo,Vestido,2018-03-25,16,25,400,Marco,3
873,Paloma,Farias,03/06/1987,Sao Paulo,Saia,2018-03-09,86,25,2150,Marco,3
295,Joyce,Ribas,02/03/1993,Sao Paulo,Bermuda,2018-03-25,47,75,3525,Marco,3
291,Breno,Amaral,08/12/1990,Fortaleza,Vestido,2018-03-25,61,190,11590,Marco,3
293,Iago,Bensdorp,05/12/1990,Curitiba,Vestido,2018-03-25,38,150,5700,Marco,3
346,Jucelia,Bailly,01/08/1986,Porto Alegre,Vestido,2018-03-04,80,150,12000,Marco,3
252,Patricia,Camara,24/11/1989,Porto Alegre,Sapato,2018-03-15,3,85,255,Marco,3
250,Tayna,Coimbra,09/12/1986,Brasilia,Casaco,2018-03-15,16,75,1200,Marco,3
249,Breno,Amaral,06/10/1985,Rio de Janeiro,Casaco,2018-03-15,28,55,1540,Marco,3
248,Breno,Amaral,14/05/1986,Fortaleza,Vestido,2018-03-15,97,85,8245,Marco,3
247,Paloma,Farias,05/12/1993,Porto Alegre,Casaco,2018-03-15,70,230,16100,Marco,3
251,NatÃ¡lia,Huon,01/02/1991,Porto Alegre,Sapato,2018-03-15,43,25,1075,Marco,3
6,Patricia,Camara,10/09/1991,Sao Paulo,Sandalia,2018-03-01,116,55,6380,Marco,3
287,Iago,Bensdorp,22/06/1992,Porto Alegre,Vestido,2018-03-24,52,300,15600,Marco,3
349,Juliane,Felipi,19/11/1992,Fortaleza,Pulseira,2018-03-04,80,25,2000,Marco,3
283,Breno,Amaral,16/04/1989,Rio de Janeiro,Vestido,2018-03-23,75,110,8250,Marco,3
348,Andrew,Carvalhal,03/03/1992,Sao Paulo,Short,2018-03-04,16,300,4800,Marco,3
871,Breno,Amaral,02/06/1992,Porto Alegre,Bermuda,2018-03-09,107,30,3210,Marco,3
278,Emanuella,Fialho,15/08/1987,Rio de Janeiro,Sapato,2018-03-21,2,30,60,Marco,3
275,Breno,Amaral,13/07/1993,Sao Paulo,Casaco,2018-03-21,85,85,7225,Marco,3
273,Izabel,Milagre,21/04/1987,Salvador,Pulseira,2018-03-21,80,230,18400,Marco,3
274,Emanuella,Fialho,29/09/1988,Curitiba,Casaco,2018-03-21,133,85,11305,Marco,3
